words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
"return,print,self",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"return,print,x",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"using,print,tensorflow",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"return,traceback,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"traceback,recent,x",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"return,x,self",0.866666667,0.865595238,0.8,0.857142857,0.733333333,1,0.9375
"using,return,x",0.853333333,0.852588193,0.75862069,0.857142857,0.709677419,1,0.9375
"using,tensorflow,tf",0.826666667,0.829819376,0.75862069,0.857142857,0.666666667,1,0.866666667
"keras,accuracy,model,dense",0.826666667,0.825800412,0.692307692,0.827586207,0.705882353,1,0.903225806
"keras,accuracy,sequential,dense",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"accuracy,model,sequential,dense",0.84,0.83856658,0.692307692,0.857142857,0.705882353,1,0.9375
"keras,accuracy,sequential,model",0.826666667,0.825800412,0.692307692,0.827586207,0.705882353,1,0.903225806
"keras,model,activation,dense",0.813333333,0.809821632,0.64,0.8,0.705882353,1,0.903225806
"keras,activation,sequential,dense",0.813333333,0.814818831,0.666666667,0.857142857,0.647058824,1,0.903225806
"activation,model,sequential,dense",0.84,0.836933325,0.692307692,0.827586207,0.727272727,1,0.9375
"keras,activation,sequential,model",0.813333333,0.809821632,0.64,0.8,0.705882353,1,0.903225806
"call,error,code,last",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,error,code,recent",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,traceback,code,error",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,module,code,last",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,last,code,recent",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,traceback,code,last",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,module,code,recent",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,traceback,code,module",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,traceback,code,recent",0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
"call,error,file,last",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,file,line",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,file,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,traceback,file,error",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,last,line",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,last,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"call,error,last,module",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,last,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,last,return",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,traceback,last,error",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,line,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,traceback,line,error",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,recent,model",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"call,traceback,model,error",0.853333333,0.852531265,0.740740741,0.857142857,0.727272727,1,0.9375
"call,error,recent,module",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,traceback,module,error",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,return,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
"call,error,traceback,recent",0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
