words,acc,f1,0_f1,1_f1,2_f1,3_f1,4_f1
flatten,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
value,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
running,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
also,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
example,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
try,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
runtimeerror,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
shapes,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
weights,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
found,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
typeerror,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
different,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
TRUE,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
validation,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
kwargs,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
work,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
would,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
forward,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
traceback,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
variable,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
nvidia,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
samples,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
time,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
tensors,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
np,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
please,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
nan,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
fit,0.84,0.841297871,0.75862069,0.857142857,0.6875,1,0.903225806
recent,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
working,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
know,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
library,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
hidden,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
results,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
create,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
step,0.84,0.842261905,0.8,0.857142857,0.6875,1,0.866666667
features,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
something,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
used,0.84,0.840245776,0.774193548,0.857142857,0.666666667,1,0.903225806
classification,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
label,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
way,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
simple,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
img,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
else,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sgd,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
works,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
want,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
two,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
must,0.84,0.841108124,0.8,0.814814815,0.6875,1,0.903225806
make,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
new,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
thanks,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
load,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
net,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
importerror,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
FALSE,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
see,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
args,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
still,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
issue,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
https,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
node,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
generator,0.84,0.842261905,0.8,0.857142857,0.6875,1,0.866666667
imagedatagenerator,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
available,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
sess,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
change,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
prediction,0.853333333,0.854009217,0.8,0.857142857,0.709677419,1,0.903225806
